Emoji,English,Português
🐜,ant,formiga
🐤,chick,pintinho
🐫,camel,camelo
🦇,bat,morcego
🐦,bird,passaro
🦬,bison,bisao
🐡,blowfish,baiacu
🐛,bug,inseto
🐈,cat,gato
🐄,cow,vaca
🦀,crab,caranguejo
🦗,cricket,grilo
🐊,crocodile,crocodilo
🦌,deer,veado
🦤,dodo,dodo
🐕,dog,cachorro
🐬,dolphin,golfinho
🐪,dromedary,dromedario
🦆,duck,pato
🦅,eagle,aguia
🐘,elephant,elefante
🐟,fish,peixe
🦩,flamingo,flamingo
🦒,giraffe,girafa
🐐,goat,cabra
🦍,gorilla,gorila
🦔,hedgehog,ourico
🦛,hippopotamus,hipopótamo
🐝,honeybee,abelha
🐎,horse,cavalo
🦘,kangaroo,canguru
🐞,ladybeetle,joaninha
🐆,leopard,leopardo
🦎,lizard,lagarto
🦙,llama,llama
🦞,lobster,lagosta
🦟,mosquito,mosquito
🐁,mouse,camundongo
🐙,octopus,polvo
🦧,orangutan,orangotango
🦉,owl,coruja
🦜,parrot,papagaio
🦚,peacock,pavão
🐧,penguin,pinguim
🐖,pig,porco
🐇,rabbit,coelho
🐏,ram,carneiro
🐀,rat,rato
🦏,rhinoceros,rinoceronte
🐓,rooster,galo
🦕,sauropod,sauropode
🦂,scorpion,escorpiao
🐑,sheep,ovelha
🦐,shrimp,camarão
🐌,snail,caracol
🐍,snake,serpente
🦑,squid,lula
🦢,swan,cisne
🦖,trex,tiranossauro
🐅,tiger,tigre
🦃,turkey,peru
🐢,turtle,tartaruga
🐃,buffalo,bufalo
🐋,whale,baleia
